author,id,title
7,19778,"Alice's Abenteuer im Wunderland (German)"
7,55456,"Aventures d'Alice au pays des merveilles (French)"
7,29042,"A Tangled Tale"
7,19551,"Alice in Wonderland, Retold in Words of One Syllable"
7,4763,"The Game of Logic"
7,55040,"The Nursery Alice"
7,38065,"Eight or Nine Wise Words about Letter-Writing"
7,28371,"Le avventure d'Alice nel paese delle meraviglie (Italian)"
7,29888,"The Hunting of the Snark: An Agony, in Eight Fits"
7,36308,"Songs From Alice in Wonderland and Through the Looking-Glass"
1961,25717,"The History of the Decline and Fall of the Roman"
1961,57333,"Project Gutenberg Compilation of Short Stories by Chekhov"
1961,31100,"The Complete Project Gutenberg Works of Jane Austen"
1961,59280,"Index of the Project Gutenberg Works of Nathaniel Hawthorne"
1961,58025,"Index of the Project Gutenberg Works of Friedrich Nietzsche"
1961,59637,"Index of the Project Gutenberg Works of O. Henry"
1961,28803,"The Works of Mark Twain: An Index of all Project Gutenberg Editions"
1961,59023,"Index of the Project Gutenberg Works of Immanuel Kant"
1961,28858,"The Heptameron of Margaret, Queen of Navarre"
1961,31270,"The Writings of Thomas Paine, C"
1961,59195,"Index of the Project Gutenberg Works of Leon Tolstoy"
1961,59025,"Index of the Project Gutenberg Works of Lucius Annaeus Seneca"
1961,59196,"Index of the Project Gutenberg Works of Fyodor Dostoevsky"
1961,58722,"Index of the Project Gutenberg Works of Richard F. Burton"
1961,59461,"Index of the Project Gutenberg Works of Jack London"
1961,59024,"Index of the Project Gutenberg Works of Arthur Schopenhauer"
1961,59163,"Index of the Project Gutenberg Works of Francis Bacon"
1961,59508,"Index of the Project Gutenberg Works of the Brothers Grimm"
1961,58508,"Index of the Project Gutenberg Works of Pelham Grenville Wodehouse"
1961,58157,"Index of the Project Gutenberg Works of Charles Dickens"
1961,30580,"The Fairy Books of Andrew Lang"
1961,58646,"Index of the Project Gutenberg Works of Edmund Burke"
1961,59462,"Index of the Project Gutenberg Works of Henry James"
1961,31565,"The Works of Balzac: A linked index to all Project Gutenberg editions"
1961,58975,"Index of Project Gutenberg Works on Black History"
36,67979,"The Blue Castle: a novel"
36,45,"Anne of Green Gables"
36,51,"Anne of the Island"
36,47,"Anne of Avonlea"
36,544,"Anne's House of Dreams"
36,3796,"Rilla of Ingleside"
36,61236,"Emily of New Moon"
36,24878,"Lucy Maud Montgomery Short Stories, 1909 to 1922"
36,24875,"Lucy Maud Montgomery Short Stories, 1904"
36,24873,"Lucy Maud Montgomery Short Stories, 1896 to 1901"
36,1354,"Chronicles of Avonlea"
36,24874,"Lucy Maud Montgomery Short Stories, 1902 to 1903"
36,24876,"Lucy Maud Montgomery Short Stories, 1905 to 1906"
102,37106,"Little Women; Or, Meg, Jo, Beth, and Amy"
102,514,"Little Women"
102,2788,"Little Men: Life at Plumfield With Jo's Boys"
102,38049,"Louisa May Alcott : Her Life, Letters, and Journals"
102,2787,"An Old-Fashioned Girl"
102,3499,"Jo's Boys"
102,2726,"Eight Cousins"
102,2804,"Rose i"
102,8677,"Behind a Mask; or, a Woman's Power"
102,163,"Flower Fables"
102,7425,"The Louisa Alcott Reader: a Supplementary Reader for the Fourth Year of School"
102,3806,"A Modern Cinderella; Or, The Little Old Shoe, and Other Stories"
102,3837,"Hospital Sketches"
102,4770,"Work: A Story of Experience"
102,58158,"Index of the Project Gutenberg Works of Louisa M. Alcott"
102,57321,"Proverb Stories"
102,28203,"Moods"
102,36221,"Spinning-Wheel Stories"
102,40682,"Lulu's Library, Volume 1 (of 3)"
102,5830,"A Garland for Girls"
3930,1259,"Twenty years after"
3930,1184,"The Count of Monte Cristo"
3930,17989,"Le comte de Monte-Cristo, Tome I (French)"
3930,1257,"The three musketeers"
3930,13951,"Les trois mousquetaires (French)"
3930,65391,"Il Conte di Monte-Cristo (Italian)"
3930,965,"The black tulip"
3930,2609,"The Vicomte de Bragelonne"
3930,17990,"Le comte de Monte-Cristo, Tome II (French)"
3930,56054,"Les trois mousquetaires, Volume  1 (of 2) (French)"
3930,17992,"Le comte de Monte-Cristo, Tome IV (French)"
3930,17991,"Le comte de Monte-Cristo, Tome III (French)"
3930,2710,"Louise de la Valliere"
3930,33609,"Marguerite de Valois"
3930,37885,"Kolme muskettisoturia: Historiallinen romaani (Finnish)"
3930,7426,"Chicot the Jester"
3930,67846,"Venti anni dopo (Italian)"
3930,13952,"Vingt ans après (French)"
3930,27385,"The conspirators; or, The chevalier d'Harmental"
3930,20122,"The queen's necklace"
3930,13856,"La reine Margot - Tome I (French)"
3930,18028,"Le chevalier d'Harmental (French)"
3930,9637,"La dame de Monsoreau — ­Tome 1. (French)"
3930,18997,"The Vicomte de Bragelonne; Or, Ten Year"
3930,27384,"The regent's daughter"
93,1497,"The Republic"
93,1600,"Symposium"
93,1636,"Phaedrus"
93,55201,"The Republic of Plato"
93,1658,"Phaedo"
93,1656,"Apology"
93,1672,"Gorgias"
93,1643,"Meno"
93,1642,"Euthyphro"
93,1750,"Laws"
93,13726,"Apology, Crito, and Phaedo of Socrates"
93,1726,"Theaetetus"
93,1572,"Timaeus"
93,1591,"Protagoras"
93,1635,"Ion"
93,1571,"Critias"
93,1735,"Sophist"
93,1738,"Statesman"
93,1657,"Crito"
93,1744,"Philebus"
93,1687,"Parmenides"
93,1682,"Menexenus"
93,1616,"Cratylus"
93,1580,"Charmides"
93,1579,"Lysis"
861,2542,"A Doll's House : a play"
861,4093,"Hedda Gabler"
861,8121,"Ghosts"
861,2446,"An Enemy of the People"
861,4070,"The Master Builder"
861,4782,"When We Dead Awaken"
861,75544,"Peer Gynt :  Draamallinen runoelma (Finnish)"
861,2765,"The Lady from the Sea"
861,15492,"A Doll's House"
861,7942,"Little Eyolf"
861,2296,"Pillars of Society"
861,73631,"The wild duck :  A drama in five acts"
861,2467,"Ghosts: A Domestic Tragedy in Three Acts"
861,66239,"The collected works of Henrik Ibsen, Vol. 04 (of 11)"
861,2289,"Rosmersholm"
861,70566,"The collected works of Henrik Ibsen, Vol. 07 (of 11)"
861,17674,"Nora: Näytelmä kolmessa näytöksessä (Finnish)"
861,7172,"Early Plays — Catiline, the Warrior's Barrow, Olaf Liljekrans"
861,20162,"La kolonoj de la socio: Dramo en kvar aktoj (Esperanto)"
861,74237,"The collected works of Henrik Ibsen Vol. 10 (of 11)"
861,66060,"The collected works of Henrik Ibsen, Vol. 01 (of 11)"
861,23774,"La Asocio de la Junuloj: Dramo en kvin aktoj (Esperanto)"
861,19183,"Hedda Gabler: Dramo en kvar aktoj (Esperanto)"
861,70577,"The collected works of Henrik Ibsen, Vol. 08 (of 11)"
861,23837,"Eta Eyolf (Esperanto)"
30,36,"The War of the Worlds"
30,35,"The Time Machine"
30,5230,"The Invisible Man: A Grotesque Romance"
30,159,"The island of Doctor Moreau"
30,11870,"The Country of the Blind, and Other Stories"
30,23218,"The Red Room"
30,35461,"A Short History of the World"
30,12750,"The Stolen Bacillus and Other Incidents"
30,456,"The Door in the Wall, and Other Stories"
30,45368,"The Outline of History: Being a Plain History of Life and Mankind"
30,1059,"The World Set Free"
30,1689,"The Pivot of Civilization"
30,780,"The War in the Air"
30,27365,"Tales of Space and Time"
30,3691,"Little Wars; a game for boys from twelve years of age to one hundred and fifty and for that more intelligent sort of girl who likes boys' games and books."
30,1047,"The New Machiavelli"
30,1013,"The First Men in the Moon"
30,1743,"Twelve Stories and a Dream"
30,12163,"The Sleeper Awakes"
30,524,"Ann Veronica: A Modern Love Story"
30,39162,"Kipps: The Story of a Simple Soul"
136,2600,"War and Peace"
136,1399,"Anna Karenina"
136,13437,"Best Russian Short Stories"
136,64908,"What Is Art?"
136,6157,"What Men Live By, and Other Tales"
136,986,"Master and Man"
136,43302,"The Kingdom of God Is With"
136,689,"The Kreutzer Sonata and Other Stories"
136,1938,"Resurrection"
136,38616,"Where Love is There God is Also"
136,59195,"Index of the Project Gutenberg Works of Leon Tolstoy"
136,2142,"Childhood"
136,7176,"A Letter to a Hindu"
136,985,"Father Sergius"
136,43761,"La Pensée de l'Humanité (French)"
136,62942,"Modern Short Stories: A Book for High Schools"
136,44956,"Anna Karenina, 1. Band (German)"
136,243,"The forged coupon, and other stories"
136,27726,"Tolstoy on Shakespeare: A Critical Essay on Shakespeare"
136,47197,"Sevastopol"
136,4761,"The Cossacks: A Tale of 1852"
136,38690,"What Shall We Do?"
60,164,"Twenty Thousand Leagues under the Sea"
60,103,"Around the World in Eighty Days"
60,18857,"A Journey to the Centre of the Earth"
60,1268,"The Mysterious Island"
60,14287,"L'île mystérieuse (French)"
60,4791,"Voyage au Centre de la Terre (French)"
